CBSA Code,year,n
12940,1992,65
12940,1993,59
12940,1994,49
12940,1995,70
12940,1996,55
12940,1997,75
12940,1998,56
12940,1999,73
12940,2000,91
12940,2001,43
12940,2002,35
12940,2003,52
12940,2004,45
12940,2005,74
12940,2006,68
12940,2007,48
12940,2008,36
12940,2009,19
12940,2010,40
12940,2011,44
12940,2012,34
12940,2013,9
12940,2014,15
12940,2015,21
12940,2016,9
12940,2017,9
12940,2018,19
12940,2019,10
12940,2020,8
12940,2021,6
12940,2022,12
13140,1980,63
13140,1981,51
13140,1982,52
13140,1983,53
13140,1984,50
13140,1985,5
13140,1986,50
13140,1987,37
13140,1988,48
13140,1989,47
13140,1990,62
13140,1991,51
13140,1992,55
13140,1993,43
13140,1994,26
13140,1995,66
13140,1996,18
13140,1997,36
13140,1998,22
13140,1999,13
13140,2000,59
13140,2001,34
13140,2002,42
13140,2003,45
13140,2004,57
13140,2005,54
13140,2006,38
13140,2007,28
13140,2008,16
13140,2009,15
13140,2010,32
13140,2011,32
13140,2012,23
13140,2013,7
13140,2014,5
13140,2015,10
13140,2016,5
13140,2017,3
13140,2018,11
13140,2019,6
13140,2020,2
13140,2021,3
13140,2022,3
13820,1980,66
13820,1981,99
13820,1982,74
13820,1983,69
13820,1984,23
13820,1985,39
13820,1986,73
13820,1987,74
13820,1988,83
13820,1989,31
13820,1990,64
13820,1991,31
13820,1992,37
13820,1993,39
13820,1994,28
13820,1995,61
13820,1996,41
13820,1997,45
13820,1998,61
13820,1999,122
13820,2000,109
13820,2001,106
13820,2002,69
13820,2003,52
13820,2004,46
13820,2005,69
13820,2006,77
13820,2007,79
13820,2008,33
13820,2009,8
13820,2010,33
13820,2011,41
13820,2012,20
13820,2013,4
13820,2014,7
13820,2015,6
13820,2016,15
13820,2017,3
13820,2018,5
13820,2019,17
13820,2020,3
13820,2021,5
13820,2022,3
14460,1980,84
14460,1981,55
14460,1982,69
14460,1983,82
14460,1984,105
14460,1985,47
14460,1986,46
14460,1987,46
14460,1988,55
14460,1989,34
14460,1990,31
14460,1991,37
14460,1992,31
14460,1993,31
14460,1994,33
14460,1995,36
14460,1996,33
14460,1997,31
14460,1998,31
14460,1999,42
14460,2000,20
14460,2001,35
14460,2002,59
14460,2003,29
14460,2004,20
14460,2005,34
14460,2006,35
14460,2007,38
14460,2008,18
14460,2009,8
14460,2010,12
14460,2011,7
14460,2012,15
14460,2013,9
14460,2014,7
14460,2015,4
14460,2016,8
14460,2017,7
14460,2018,6
14460,2019,2
14460,2021,6
14860,1980,225
14860,1981,133
14860,1982,85
14860,1983,105
14860,1984,68
14860,1985,60
14860,1986,48
14860,1987,51
14860,1988,65
14860,1989,46
14860,1990,44
14860,1991,48
14860,1992,29
14860,1993,35
14860,1994,48
14860,1995,33
14860,1996,33
14860,1997,36
14860,1998,51
14860,1999,40
14860,2000,32
14860,2001,46
14860,2002,53
14860,2003,33
14860,2004,25
14860,2005,36
14860,2006,30
14860,2007,39
14860,2008,32
14860,2009,17
14860,2010,30
14860,2011,20
14860,2012,32
14860,2013,25
14860,2014,17
14860,2015,33
14860,2016,23
14860,2017,16
14860,2018,24
14860,2019,21
14860,2020,15
14860,2021,19
14860,2022,5
15380,1980,41
15380,1981,38
15380,1982,34
15380,1983,41
15380,1984,35
15380,1985,38
15380,1986,37
15380,1987,46
15380,1988,48
15380,1989,30
15380,1990,26
15380,1991,33
15380,1992,13
15380,1993,15
15380,1994,23
15380,1995,19
15380,1996,16
15380,1997,11
15380,1998,40
15380,1999,40
15380,2000,13
15380,2001,35
15380,2002,45
15380,2003,23
15380,2004,19
15380,2005,40
15380,2006,17
15380,2007,36
15380,2008,11
15380,2009,3
15380,2010,11
15380,2011,8
15380,2012,17
15380,2013,5
15380,2014,2
15380,2015,4
15380,2016,7
15380,2017,3
15380,2018,4
15380,2020,3
15380,2021,3
15380,2022,2
15540,1980,8
15540,1981,3
15540,1982,12
15540,1983,11
15540,1984,6
15540,1985,7
15540,1986,8
15540,1987,5
15540,1988,18
15540,1989,5
15540,1990,7
15540,1991,15
15540,1992,8
15540,1993,9
15540,1994,10
15540,1995,10
15540,1996,1
15540,1997,4
15540,1998,8
15540,1999,9
15540,2000,4
15540,2001,10
15540,2002,12
15540,2003,8
15540,2004,6
15540,2005,5
15540,2006,3
15540,2007,6
15540,2008,7
15540,2010,2
15540,2011,2
15540,2012,1
15540,2013,1
15540,2015,1
15540,2021,1
16300,1980,3
16300,1981,4
16300,1983,9
16300,1984,4
16300,1985,3
16300,1986,1
16300,1987,4
16300,1988,31
16300,1989,5
16300,1991,2
16300,1992,8
16300,1993,1
16300,1997,1
16300,1998,1
16300,1999,19
16300,2000,10
16300,2001,7
16300,2002,11
16300,2003,11
16300,2004,2
16300,2005,14
16300,2006,1
16300,2007,9
16300,2008,2
16300,2009,4
16300,2010,6
16300,2011,1
16300,2012,6
16300,2013,2
16300,2014,1
16300,2015,1
16300,2016,1
16300,2018,5
16300,2020,1
16300,2021,4
16700,1980,39
16700,1981,7
16700,1982,8
16700,1983,20
16700,1984,23
16700,1985,13
16700,1986,41
16700,1987,45
16700,1988,42
16700,1989,27
16700,1990,18
16700,1991,12
16700,1992,18
16700,1993,27
16700,1994,10
16700,1995,8
16700,1996,7
16700,1997,8
16700,1998,35
16700,1999,26
16700,2000,27
16700,2001,9
16700,2002,13
16700,2003,8
16700,2004,11
16700,2005,16
16700,2006,18
16700,2007,8
16700,2008,8
16700,2010,2
16700,2011,4
16700,2012,1
16700,2015,1
16700,2016,5
16700,2017,1
16700,2020,1
16740,1980,128
16740,1981,89
16740,1982,73
16740,1983,98
16740,1984,71
16740,1985,74
16740,1986,90
16740,1987,87
16740,1988,93
16740,1989,61
16740,1990,85
16740,1991,65
16740,1992,49
16740,1993,86
16740,1994,52
16740,1995,66
16740,1996,71
16740,1997,77
16740,1998,101
16740,1999,95
16740,2000,81
16740,2001,83
16740,2002,79
16740,2003,55
16740,2004,49
16740,2005,72
16740,2006,61
16740,2007,87
16740,2008,55
16740,2009,13
16740,2010,43
16740,2011,45
16740,2012,29
16740,2013,3
16740,2014,7
16740,2015,13
16740,2016,11
16740,2017,6
16740,2018,11
16740,2019,19
16740,2020,2
16740,2021,3
16740,2022,6
16980,1980,109
16980,1981,70
16980,1982,79
16980,1983,98
16980,1984,77
16980,1985,63
16980,1986,100
16980,1987,74
16980,1988,109
16980,1989,88
16980,1990,92
16980,1991,78
16980,1992,37
16980,1993,32
16980,1994,47
16980,1995,62
16980,1996,43
16980,1997,39
16980,1998,66
16980,1999,79
16980,2000,65
16980,2001,93
16980,2002,66
16980,2003,61
16980,2004,44
16980,2005,77
16980,2006,25
16980,2007,62
16980,2008,50
16980,2009,24
16980,2010,37
16980,2011,27
16980,2012,55
16980,2013,19
16980,2014,19
16980,2015,17
16980,2016,28
16980,2017,26
16980,2018,26
16980,2019,14
16980,2020,26
16980,2021,32
16980,2022,13
17020,1980,8
17020,1981,2
17020,1982,10
17020,1983,1
17020,1984,6
17020,1985,26
17020,1986,35
17020,1987,32
17020,1988,30
17020,1989,24
17020,1990,20
17020,1991,11
17020,1992,25
17020,1993,18
17020,1994,48
17020,1995,12
17020,1996,18
17020,1997,1
17020,1998,13
17020,1999,36
17020,2000,54
17020,2001,53
17020,2002,89
17020,2003,54
17020,2004,45
17020,2005,42
17020,2006,71
17020,2007,44
17020,2008,37
17020,2009,40
17020,2010,19
17020,2011,26
17020,2012,35
17020,2013,14
17020,2014,17
17020,2015,15
17020,2016,18
17020,2017,27
17020,2018,44
17020,2019,5
17020,2020,40
17020,2021,32
17140,1980,108
17140,1981,67
17140,1982,89
17140,1983,151
17140,1984,68
17140,1985,71
17140,1986,75
17140,1987,94
17140,1988,86
17140,1989,57
17140,1990,62
17140,1991,68
17140,1992,26
17140,1993,49
17140,1994,59
17140,1995,68
17140,1996,55
17140,1997,46
17140,1998,70
17140,1999,86
17140,2000,49
17140,2001,61
17140,2002,63
17140,2003,43
17140,2004,36
17140,2005,70
17140,2006,44
17140,2007,73
17140,2008,40
17140,2009,16
17140,2010,47
17140,2011,40
17140,2012,50
17140,2013,10
17140,2014,15
17140,2015,14
17140,2016,23
17140,2017,10
17140,2018,15
17140,2019,13
17140,2020,11
17140,2021,9
17140,2022,6
17460,1980,49
17460,1981,50
17460,1982,68
17460,1983,65
17460,1984,70
17460,1985,62
17460,1986,55
17460,1987,47
17460,1988,69
17460,1989,54
17460,1990,37
17460,1991,61
17460,1992,37
17460,1993,53
17460,1994,60
17460,1995,54
17460,1996,51
17460,1997,47
17460,1998,62
17460,1999,80
17460,2000,57
17460,2001,77
17460,2002,60
17460,2003,52
17460,2004,40
17460,2005,69
17460,2006,29
17460,2007,30
17460,2008,26
17460,2009,13
17460,2010,42
17460,2011,32
17460,2012,53
17460,2013,10
17460,2014,11
17460,2015,13
17460,2016,18
17460,2017,7
17460,2018,14
17460,2019,7
17460,2020,11
17460,2021,9
17460,2022,8
17820,1980,30
17820,1981,18
17820,1982,19
17820,1983,20
17820,1984,21
17820,1985,5
17820,1986,2
17820,1987,2
17820,1988,13
17820,1989,14
17820,1990,10
17820,1991,12
17820,1993,2
17820,1994,3
17820,1995,27
17820,1996,25
17820,1997,2
17820,1998,1
17820,1999,3
17820,2000,27
17820,2001,4
17820,2002,9
17820,2003,14
17820,2004,5
17820,2005,17
17820,2006,21
17820,2007,10
17820,2008,19
17820,2009,1
17820,2010,6
17820,2011,12
17820,2012,25
17820,2013,13
17820,2015,2
17820,2016,3
17820,2017,5
17820,2018,18
17820,2019,1
17820,2020,7
17820,2021,30
17820,2022,3
17900,1980,90
17900,1981,65
17900,1982,33
17900,1983,63
17900,1984,38
17900,1985,34
17900,1986,52
17900,1987,58
17900,1988,73
17900,1989,29
17900,1990,70
17900,1991,18
17900,1992,22
17900,1993,62
17900,1994,24
17900,1995,31
17900,1996,18
17900,1997,37
17900,1998,72
17900,1999,55
17900,2000,65
17900,2001,49
17900,2002,46
17900,2003,25
17900,2004,36
17900,2005,29
17900,2006,34
17900,2007,33
17900,2008,25
17900,2009,2
17900,2010,6
17900,2011,22
17900,2012,3
17900,2016,6
17900,2017,2
17900,2018,1
17900,2020,1
17900,2021,2
18140,1980,79
18140,1981,40
18140,1982,44
18140,1983,53
18140,1984,24
18140,1985,40
18140,1986,18
18140,1987,32
18140,1988,46
18140,1989,30
18140,1990,34
18140,1991,75
18140,1992,32
18140,1993,41
18140,1994,54
18140,1995,55
18140,1996,53
18140,1997,37
18140,1998,70
18140,1999,77
18140,2000,44
18140,2001,55
18140,2002,65
18140,2003,38
18140,2004,31
18140,2005,55
18140,2006,30
18140,2007,50
18140,2008,25
18140,2009,8
18140,2010,28
18140,2011,22
18140,2012,34
18140,2013,7
18140,2014,7
18140,2015,6
18140,2016,12
18140,2017,6
18140,2018,4
18140,2019,2
18140,2020,4
18140,2021,1
18140,2022,4
19100,1980,100
19100,1981,97
19100,1982,73
19100,1983,96
19100,1984,110
19100,1985,100
19100,1986,86
19100,1987,87
19100,1988,105
19100,1989,73
19100,1990,70
19100,1991,65
19100,1992,50
19100,1993,49
19100,1994,77
19100,1995,87
19100,1996,64
19100,1997,81
19100,1998,93
19100,1999,84
19100,2000,79
19100,2001,84
19100,2002,66
19100,2003,76
19100,2004,61
19100,2005,88
19100,2006,72
19100,2007,48
19100,2008,51
19100,2009,55
19100,2010,31
19100,2011,68
19100,2012,64
19100,2013,49
19100,2014,27
19100,2015,47
19100,2016,20
19100,2017,24
19100,2018,39
19100,2019,31
19100,2020,26
19100,2021,33
19100,2022,35
19340,1980,32
19340,1981,5
19340,1982,4
19340,1983,33
19340,1984,20
19340,1985,15
19340,1986,10
19340,1987,25
19340,1988,77
19340,1989,29
19340,1990,5
19340,1991,22
19340,1992,21
19340,1993,8
19340,1994,9
19340,1995,18
19340,1996,18
19340,1997,10
19340,1998,11
19340,1999,19
19340,2000,14
19340,2001,20
19340,2002,21
19340,2003,22
19340,2004,7
19340,2005,29
19340,2006,7
19340,2007,17
19340,2008,5
19340,2009,3
19340,2010,8
19340,2011,1
19340,2012,8
19340,2013,4
19340,2014,4
19340,2015,4
19340,2016,2
19340,2017,1
19340,2018,6
19340,2019,3
19340,2020,4
19340,2021,4
19380,1980,54
19380,1981,51
19380,1982,74
19380,1983,64
19380,1984,42
19380,1985,23
19380,1986,35
19380,1987,49
19380,1988,63
19380,1989,37
19380,1990,25
19380,1991,54
19380,1992,5
19380,1993,31
19380,1994,41
19380,1995,34
19380,1996,47
19380,1997,41
19380,1998,51
19380,1999,50
19380,2000,35
19380,2001,42
19380,2002,52
19380,2003,36
19380,2004,23
19380,2005,43
19380,2006,21
19380,2007,27
19380,2008,21
19380,2009,10
19380,2010,26
19380,2011,22
19380,2012,27
19380,2013,10
19380,2014,6
19380,2015,8
19380,2016,9
19380,2017,5
19380,2018,7
19380,2020,4
19380,2021,2
19380,2022,3
19740,1980,147
19740,1981,137
19740,1982,144
19740,1983,157
19740,1984,127
19740,1985,111
19740,1986,128
19740,1987,109
19740,1988,99
19740,1989,86
19740,1990,33
19740,1991,39
19740,1992,45
19740,1993,49
19740,1994,46
19740,1995,40
19740,1996,54
